fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Rubin Williams,73.0,185.0,72.0,0.0,0,1.39,60,0.0,0,0,0.0,50.40930869267625
Carter Williams,73.0,265.0,72.0,1.55,36,2.32,58,2.9,33,100,0.0,46.43668720054757
Rob Wilkinson,75.0,185.0,80.0,2.74,50,5.66,39,4.47,25,0,0.0,34.53798767967146
James Wilks,73.0,170.0,75.0,1.82,45,2.03,50,1.27,22,66,3.8,48.342231348391515
Aaron Wilkinson,70.0,155.0,72.0,0.0,0,0.0,100,7.32,100,0,0.0,39.59753593429158
Joe Wilk,69.0,145.0,72.0,1.0,54,2.0,72,0.0,0,0,0.0,44.40246406570842
Tedd Williams,73.0,275.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,56.714579055441476
Pete Williams,75.0,235.0,72.0,0.61,62,2.77,40,1.84,40,16,0.9,51.15947980835045
Mike Wilkinson,67.0,145.0,66.0,2.35,38,3.7,35,0.92,14,55,0.9,38.97604380561259
Jordan Williams,73.0,185.0,75.0,5.83,50,5.46,35,1.11,50,85,0.0,35.898699520876114
Patrick Williams,68.0,135.0,73.0,4.12,51,4.12,52,2.71,41,100,0.5,44.99657768651608
Tim Williams,74.0,185.0,76.0,3.07,38,3.55,48,1.81,40,100,0.0,40.17796030116359
Cole Williams,72.0,170.0,73.0,0.31,27,5.34,23,0.0,0,25,0.0,42.72689938398357
Khaos Williams,72.0,170.0,77.0,4.97,39,5.34,41,0.0,0,51,0.0,32.43805612594114
Sean Wilson,68.0,145.0,72.0,1.01,31,5.88,62,0.0,0,0,0.0,43.879534565366185
Westin Wilson,73.0,145.0,73.0,1.57,31,6.71,30,1.57,16,33,7.9,37.61533196440794
Tyshawn Williams,70.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,30.034223134839152
Karl Willis,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Karl Williams,75.0,235.0,79.0,2.68,48,2.15,55,4.2,48,100,0.2,36.6652977412731
Justin Willis,73.0,264.0,78.0,3.37,59,2.57,57,0.96,66,36,0.0,39.134839151266256
Chris Wilson,73.0,170.0,75.0,2.32,50,1.36,55,1.31,50,60,1.6,49.24845995893224
Greg Wilson,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,37.927446954141
Damon Wilson,69.0,145.0,69.0,7.56,49,8.27,52,0.0,0,0,0.0,33.35523613963039
Jonathan Wilson,74.0,205.0,75.0,2.92,48,5.65,56,0.37,100,80,0.0,39.14031485284052
Matt Wiman,70.0,155.0,68.0,3.17,50,3.57,51,2.13,37,56,1.5,42.965092402464066
Karolina Wojcik,62.0,115.0,72.0,2.67,65,0.87,62,2.0,66,100,1.0,31.742642026009584
Ray Wizard,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Travis Wiuff,75.0,205.0,72.0,0.48,30,4.03,41,4.84,57,44,1.2,48.479123887748116
Eric Wisely,68.0,145.0,72.0,1.42,47,2.08,56,0.0,0,27,0.9,42.116358658453116
Keith Wisniewski,72.0,170.0,72.0,2.32,52,4.86,42,1.57,40,78,0.3,44.865160848733744
Jason Witt,70.0,170.0,70.0,2.15,44,2.54,52,6.9,48,100,0.9,39.83025325119781
Anthony Wint,71.0,234.0,78.0,0.0,0,0.0,0,0.0,0,0,0.0,30.978781656399725
Andre Winner,71.0,155.0,73.0,2.52,33,4.57,51,0.0,0,74,0.0,44.824093086926766
Deron Winn,66.0,185.0,70.0,4.55,44,6.21,46,4.28,52,40,0.0,37.23203285420944
Eddie Wineland,67.0,135.0,69.0,3.4,29,3.76,68,0.34,33,86,0.1,42.195756331279945
Danyelle Wolf,71.0,145.0,70.0,2.37,25,4.57,47,0.0,0,77,0.5,42.99520876112252
Logan Woods,70.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,32.271047227926076
Salvador Woods,71.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,41.582477754962355
Brandon Wolff,69.0,170.0,72.0,0.47,33,10.91,19,0.0,0,0,0.0,50.88569472963724
Kwon Wonil,70.0,135.0,71.0,5.02,39,5.82,60,0.0,0,66,0.0,31.20328542094456
Xue Do Won,67.0,165.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Nathaniel Wood,66.0,145.0,69.0,5.64,51,4.25,54,1.35,48,73,0.5,33.3305954825462
Val Woodburn,68.0,170.0,74.0,1.6,35,4.93,36,1.92,100,50,0.0,33.073237508555785
Joanne Wood,66.0,125.0,65.0,7.1,51,4.89,51,1.52,55,58,0.3,40.70362765229295
